Communication et Marketing;Business;Directeurs de stratégie et planifications;9;9084;;
Communication et Marketing;Business;Directeurs de marketing;15;14548;;
Communication et Marketing;Business;Directeurs de publicité et relations publiques;6;5715;;
Communication et Marketing;Business;Directeurs de recherche et développement;7;7378;;
Communication et Marketing;Business;Directeurs de technologies de l’information et de la communication;10;10445;;
Communication et Marketing;Business;Chefs de projet;41;40942;;
Communication et Marketing;Business;Business Analyst;22;21569;;
Communication et Marketing;Marketing;Spécialistes du marketing et de la publicité;34;33551;;
Communication et Marketing;Marketing;Spécialistes des relations publiques;6;5690;;
Communication et Marketing;Marketing;Market resaearch analyst;(0);333;;
Communication et Marketing;Marketing;Organisateurs de conférences et d’événements;5;4835;;
Communication et Marketing;Marketing;Télévendeurs;(0);215;;
Communication et Marketing;Marketing;Médiamaticiens;5;4655;;
Communication et Marketing;Rédaction;Journalistes;12;11664;;
Communication et Marketing;Rédaction;Traducteurs, interprètes et linguistes;6;5721;;
Informatique ;Développeur;Ingénieurs en informatique;5;4702;;
Informatique ;Développeur;Spécialistes TIC;17;17174;;
Informatique ;Développeur;Concepteurs de logiciels;45;45353;;
Informatique ;Développeur;Programmeurs d’applications;5;5275;;
Informatique ;Réseau;Spécialistes des télécommunications;(1);979;;
Informatique ;Réseau;Architecte de réseau;2;2126;;
Informatique ;Réseau;Techniciens de l’internet;(1);713;;
Informatique ;Réseau;Techniciens des télécommunications;1;1493;;
Informatique ;Système;Analystes de systèmes;27;26707;;
Informatique ;Système;Spécialistes des bases de données;4;3501;;
Informatique ;Système;Administrateurs de systèmes;4;3517;;
Informatique ;Système;Spécialistes en sécurité et data mining;2;2087;;
Informatique ;Système;Opérateur de centre de données;6;6277;;
Informatique ;Système;Techniciens, réseaux et systèmes d’ordinateurs;(1);1305;;
Informatique ;Système;Technicien de maintenance en informatique;7;6809;;
Design et Creation;Média;Concepteurs graphiques, multimédia – graphistes;12;11803;;
Design et Creation;Média;UX Designer;(0);202;;
Design et Creation;Média;Photographes;5;4796;;
Design et Creation;Média;Techniciens de l'audiovisuel;4;4321;;
Design et Creation;Média;Compositeurs, musiciens et chanteurs;8;8259;;
Design et Creation;Imprimé;Techniciens de prépresse;6;5991;;
Design et Creation;Imprimé;Imprimeurs;5;4641;;
Design et Creation;Imprimé;Relieurs et assimilés;(1);1304;;
Design et Creation;Art;Metteurs en scène de cinéma, de théâtre et d’autres spectacles;5;5288;;
Design et Creation;Art;Artistes créateurs et exécutants;1;1295;;
X;X;Profession exercée inconnue;6;5872;;
Communication et Marketing;;;;176345;;
Informatique ;;;;128019;;
Design et Creation;;;;47901;;
total;;;358;358138;;
X;Business;;;109681;;
X;Marketing;;;49279;;
X;Rédaction;;;17385;;
X;Développeur;;;72505;;
X;Réseau;;;5312;;
X;Système;;;50203;;
X;Média;;;29382;;
X;Imprimé;;;11936;;
X;Art;;;6584;;
